fold,seed,layer,acc,epoch
4,32,6,0.9125,82
4,32,7,0.9175,79
4,32,8,0.9125,79
4,32,9,0.915,83
4,32,10,0.915,57
4,32,11,0.9225,80
4,33,0,0.4225,70
4,33,1,0.7425,66
4,33,2,0.8075,70
4,33,3,0.84,49
4,33,4,0.88,49
4,33,5,0.91,93
4,33,6,0.9225,93
4,33,7,0.925,81
4,33,8,0.9275,81
4,33,9,0.9275,81
4,33,10,0.9275,81
4,33,11,0.9275,64
4,34,0,0.4025,75
4,34,1,0.715,53
4,34,2,0.81,87
4,34,3,0.84,23
4,34,4,0.875,59
4,34,5,0.91,58
4,34,6,0.915,57
4,34,7,0.925,59
4,34,8,0.92,56
4,34,9,0.9225,57
4,34,10,0.9275,57
4,34,11,0.9325,88
4,35,0,0.405,96
4,35,1,0.7175,69
4,35,2,0.8175,84
4,35,3,0.8525,83
4,35,4,0.88,95
4,35,5,0.91,67
4,35,6,0.925,67
4,35,7,0.925,84
4,35,8,0.93,82
4,35,9,0.9275,80
4,35,10,0.9275,82
4,35,11,0.9225,58
4,36,0,0.4,84
4,36,1,0.75,65
4,36,2,0.8175,81
4,36,3,0.86,85
4,36,4,0.8875,56
4,36,5,0.9125,50
4,36,6,0.93,67
4,36,7,0.935,89
4,36,8,0.935,90
4,36,9,0.9325,77
4,36,10,0.9325,89
4,36,11,0.935,85
4,37,0,0.4025,72
4,37,1,0.7475,55
4,37,2,0.8225,52
4,37,3,0.86,72
4,37,4,0.89,55
4,37,5,0.9125,42
4,37,6,0.9175,55
4,37,7,0.92,80
4,37,8,0.9225,72
4,37,9,0.9225,89
4,37,10,0.9225,86
4,37,11,0.9275,47
4,38,0,0.4275,79
4,38,1,0.7225,49
4,38,2,0.8,35
4,38,3,0.8375,35
4,38,4,0.8675,36
4,38,5,0.9,35
4,38,6,0.9075,38
4,38,7,0.9125,36
4,38,8,0.9125,35
4,38,9,0.915,83
4,38,10,0.915,38
4,38,11,0.9225,82
4,39,0,0.3925,64
4,39,1,0.7225,56
4,39,2,0.815,61
4,39,3,0.85,75
4,39,4,0.8775,59
4,39,5,0.9025,74
4,39,6,0.91,74
